bundesland,refdatum,idbundesland,anzahlfall,anzahltodesfall,neuerfall,neuertodesfall,neugenesen,anzahlgenesen,datum
Nordrhein-Westfalen,2020/02/05 00:00:00,5,1,0,0,-9,0,1,05feb2020
Nordrhein-Westfalen,2020/02/07 00:00:00,5,2,0,0,-18,0,2,07feb2020
Nordrhein-Westfalen,2020/02/09 00:00:00,5,2,0,0,-18,0,2,09feb2020
Nordrhein-Westfalen,2020/02/10 00:00:00,5,2,0,0,-18,0,2,10feb2020
Nordrhein-Westfalen,2020/02/12 00:00:00,5,1,0,0,-9,0,1,12feb2020
Nordrhein-Westfalen,2020/02/13 00:00:00,5,1,0,0,-9,0,1,13feb2020
Nordrhein-Westfalen,2020/02/14 00:00:00,5,1,0,0,-9,0,1,14feb2020
Nordrhein-Westfalen,2020/02/15 00:00:00,5,3,0,0,-27,0,3,15feb2020
Nordrhein-Westfalen,2020/02/16 00:00:00,5,4,0,0,-36,0,4,16feb2020
Nordrhein-Westfalen,2020/02/17 00:00:00,5,3,0,0,-27,0,3,17feb2020
Nordrhein-Westfalen,2020/02/18 00:00:00,5,3,0,0,-27,0,3,18feb2020
Nordrhein-Westfalen,2020/02/19 00:00:00,5,3,0,0,-27,0,3,19feb2020
Nordrhein-Westfalen,2020/02/20 00:00:00,5,16,0,0,-126,0,16,20feb2020
Nordrhein-Westfalen,2020/02/21 00:00:00,5,7,0,0,-54,0,7,21feb2020
Nordrhein-Westfalen,2020/02/22 00:00:00,5,17,0,0,-144,0,17,22feb2020
Nordrhein-Westfalen,2020/02/23 00:00:00,5,26,0,0,-198,0,26,23feb2020
Nordrhein-Westfalen,2020/02/24 00:00:00,5,38,0,0,-315,0,38,24feb2020
Nordrhein-Westfalen,2020/02/25 00:00:00,5,55,0,0,-423,0,55,25feb2020
Nordrhein-Westfalen,2020/02/26 00:00:00,5,91,1,0,-666,-9,90,26feb2020
Nordrhein-Westfalen,2020/02/27 00:00:00,5,92,0,0,-693,0,92,27feb2020
Nordrhein-Westfalen,2020/02/28 00:00:00,5,106,1,0,-810,-9,105,28feb2020
Nordrhein-Westfalen,2020/02/29 00:00:00,5,71,0,0,-576,0,71,29feb2020
Nordrhein-Westfalen,2020/03/01 00:00:00,5,92,3,0,-720,-27,89,01mar2020
Nordrhein-Westfalen,2020/03/02 00:00:00,5,86,4,0,-648,-36,82,02mar2020
Nordrhein-Westfalen,2020/03/03 00:00:00,5,92,5,0,-702,-45,87,03mar2020
Nordrhein-Westfalen,2020/03/04 00:00:00,5,129,3,0,-945,-27,126,04mar2020
Nordrhein-Westfalen,2020/03/05 00:00:00,5,125,3,0,-1017,-27,122,05mar2020
Nordrhein-Westfalen,2020/03/06 00:00:00,5,165,4,0,-1314,-36,161,06mar2020
Nordrhein-Westfalen,2020/03/07 00:00:00,5,240,8,0,-1899,-72,232,07mar2020
Nordrhein-Westfalen,2020/03/08 00:00:00,5,297,3,0,-2367,-27,294,08mar2020
Nordrhein-Westfalen,2020/03/09 00:00:00,5,416,7,0,-3195,-63,409,09mar2020
Nordrhein-Westfalen,2020/03/10 00:00:00,5,541,8,0,-3915,-72,533,10mar2020
Nordrhein-Westfalen,2020/03/11 00:00:00,5,702,13,0,-4554,-117,689,11mar2020
Nordrhein-Westfalen,2020/03/12 00:00:00,5,715,11,0,-5013,-99,704,12mar2020
Nordrhein-Westfalen,2020/03/13 00:00:00,5,850,16,0,-5886,-144,834,13mar2020
Nordrhein-Westfalen,2020/03/14 00:00:00,5,883,13,0,-6066,-117,870,14mar2020
Nordrhein-Westfalen,2020/03/15 00:00:00,5,883,12,0,-6192,-108,871,15mar2020
Nordrhein-Westfalen,2020/03/16 00:00:00,5,1203,23,0,-7749,-207,1180,16mar2020
Nordrhein-Westfalen,2020/03/17 00:00:00,5,972,33,0,-6507,-288,939,17mar2020
Nordrhein-Westfalen,2020/03/18 00:00:00,5,1024,27,0,-6930,-243,997,18mar2020
Nordrhein-Westfalen,2020/03/19 00:00:00,5,939,22,0,-6408,-198,917,19mar2020
Nordrhein-Westfalen,2020/03/20 00:00:00,5,968,44,0,-6732,-396,924,20mar2020
Nordrhein-Westfalen,2020/03/21 00:00:00,5,771,14,0,-5607,-126,757,21mar2020
Nordrhein-Westfalen,2020/03/22 00:00:00,5,627,26,0,-4635,-234,601,22mar2020
Nordrhein-Westfalen,2020/03/23 00:00:00,5,923,38,0,-6174,-342,885,23mar2020
Nordrhein-Westfalen,2020/03/24 00:00:00,5,731,41,0,-5265,-351,690,24mar2020
Nordrhein-Westfalen,2020/03/25 00:00:00,5,864,36,0,-5904,-324,828,25mar2020
Nordrhein-Westfalen,2020/03/26 00:00:00,5,790,50,0,-5445,-423,740,26mar2020
Nordrhein-Westfalen,2020/03/27 00:00:00,5,797,40,0,-5607,-360,757,27mar2020
Nordrhein-Westfalen,2020/03/28 00:00:00,5,712,44,0,-4914,-333,668,28mar2020
Nordrhein-Westfalen,2020/03/29 00:00:00,5,528,32,0,-3708,-270,496,29mar2020
Nordrhein-Westfalen,2020/03/30 00:00:00,5,835,58,0,-5535,-513,777,30mar2020
Nordrhein-Westfalen,2020/03/31 00:00:00,5,767,48,0,-4778,-388,718,31mar2020
Nordrhein-Westfalen,2020/04/01 00:00:00,5,829,56,-1,-5391,-433,773,01apr2020
Nordrhein-Westfalen,2020/04/02 00:00:00,5,866,67,0,-5211,-522,798,02apr2020
Nordrhein-Westfalen,2020/04/03 00:00:00,5,911,87,0,-5220,-684,824,03apr2020
Nordrhein-Westfalen,2020/04/04 00:00:00,5,614,38,0,-4122,-306,576,04apr2020
Nordrhein-Westfalen,2020/04/05 00:00:00,5,540,47,0,-3465,-351,493,05apr2020
Nordrhein-Westfalen,2020/04/06 00:00:00,5,794,48,0,-4923,-404,746,06apr2020
Nordrhein-Westfalen,2020/04/07 00:00:00,5,672,57,0,-4176,-477,615,07apr2020
Nordrhein-Westfalen,2020/04/08 00:00:00,5,729,53,0,-4455,-432,676,08apr2020
Nordrhein-Westfalen,2020/04/09 00:00:00,5,680,38,0,-4122,-323,642,09apr2020
Nordrhein-Westfalen,2020/04/10 00:00:00,5,445,25,0,-3222,-216,420,10apr2020
Nordrhein-Westfalen,2020/04/11 00:00:00,5,436,21,0,-3015,-180,415,11apr2020
Nordrhein-Westfalen,2020/04/12 00:00:00,5,406,33,0,-2880,-252,373,12apr2020
Nordrhein-Westfalen,2020/04/13 00:00:00,5,364,22,0,-2646,-189,342,13apr2020
Nordrhein-Westfalen,2020/04/14 00:00:00,5,404,27,0,-2844,-233,377,14apr2020
Nordrhein-Westfalen,2020/04/15 00:00:00,5,452,19,0,-3042,-171,433,15apr2020
Nordrhein-Westfalen,2020/04/16 00:00:00,5,444,13,0,-2889,-117,431,16apr2020
Nordrhein-Westfalen,2020/04/17 00:00:00,5,413,26,0,-2457,-144,387,17apr2020
Nordrhein-Westfalen,2020/04/18 00:00:00,5,324,15,0,-2223,-117,309,18apr2020
Nordrhein-Westfalen,2020/04/19 00:00:00,5,299,23,0,-1782,-171,275,19apr2020
Nordrhein-Westfalen,2020/04/20 00:00:00,5,376,26,0,-2277,-234,349,20apr2020
Nordrhein-Westfalen,2020/04/21 00:00:00,5,292,13,0,-1971,-117,279,21apr2020
Nordrhein-Westfalen,2020/04/22 00:00:00,5,287,9,0,-2097,-81,278,22apr2020
Nordrhein-Westfalen,2020/04/23 00:00:00,5,293,15,0,-2133,-126,278,23apr2020
Nordrhein-Westfalen,2020/04/24 00:00:00,5,288,6,0,-2007,-54,282,24apr2020
Nordrhein-Westfalen,2020/04/25 00:00:00,5,225,9,0,-1719,-81,216,25apr2020
Nordrhein-Westfalen,2020/04/26 00:00:00,5,162,4,0,-1269,-36,158,26apr2020
Nordrhein-Westfalen,2020/04/27 00:00:00,5,260,13,0,-1962,-69,247,27apr2020
Nordrhein-Westfalen,2020/04/28 00:00:00,5,216,10,0,-1665,-495,160,28apr2020
Nordrhein-Westfalen,2020/04/29 00:00:00,5,187,6,0,-1512,-325,145,29apr2020
Nordrhein-Westfalen,2020/04/30 00:00:00,5,255,1,0,-1917,-414,201,30apr2020
Nordrhein-Westfalen,2020/05/01 00:00:00,5,223,13,0,-1548,-450,169,01may2020
Nordrhein-Westfalen,2020/05/02 00:00:00,5,182,3,0,-1377,-387,136,02may2020
Nordrhein-Westfalen,2020/05/03 00:00:00,5,117,0,0,-945,-270,85,03may2020
Nordrhein-Westfalen,2020/05/04 00:00:00,5,195,5,0,-1557,-351,156,04may2020
Nordrhein-Westfalen,2020/05/05 00:00:00,5,232,5,0,-1494,-414,176,05may2020
Nordrhein-Westfalen,2020/05/06 00:00:00,5,229,1,0,-1683,-504,168,06may2020
Nordrhein-Westfalen,2020/05/07 00:00:00,5,231,4,0,-1449,-404,182,07may2020
Nordrhein-Westfalen,2020/05/08 00:00:00,5,180,2,0,-1251,-405,127,08may2020
Nordrhein-Westfalen,2020/05/09 00:00:00,5,165,0,0,-1152,-241,135,09may2020
Nordrhein-Westfalen,2020/05/10 00:00:00,5,108,1,0,-756,-171,88,10may2020
Nordrhein-Westfalen,2020/05/11 00:00:00,5,184,1,0,-1134,-205,149,11may2020
Nordrhein-Westfalen,2020/05/12 00:00:00,5,167,0,2,-1134,-1134,0,12may2020
Nordrhein-Westfalen,2020/05/13 00:00:00,5,164,3,0,-1026,-1044,1,13may2020
Nordrhein-Westfalen,2020/05/14 00:00:00,5,148,0,0,-981,-954,3,14may2020
Nordrhein-Westfalen,2020/05/15 00:00:00,5,202,5,0,-1251,-1277,2,15may2020
Nordrhein-Westfalen,2020/05/16 00:00:00,5,143,1,1,-810,-819,0,16may2020
Nordrhein-Westfalen,2020/05/17 00:00:00,5,95,0,0,-558,-558,0,17may2020
Nordrhein-Westfalen,2020/05/18 00:00:00,5,165,1,1,-783,-792,0,18may2020
Nordrhein-Westfalen,2020/05/19 00:00:00,5,124,0,1,-765,-765,0,19may2020
Nordrhein-Westfalen,2020/05/20 00:00:00,5,113,0,6,-720,-720,0,20may2020
Nordrhein-Westfalen,2020/05/21 00:00:00,5,89,0,2,-459,-459,0,21may2020
Nordrhein-Westfalen,2020/05/22 00:00:00,5,66,1,5,-477,-486,0,22may2020
Nordrhein-Westfalen,2020/05/23 00:00:00,5,47,0,11,-342,-342,0,23may2020
Nordrhein-Westfalen,2020/05/24 00:00:00,5,39,1,22,-197,-199,-1,24may2020
Hessen,2020/01/31 00:00:00,6,1,0,0,-9,0,1,31jan2020
Hessen,2020/02/10 00:00:00,6,1,0,0,-9,0,1,10feb2020
Hessen,2020/02/15 00:00:00,6,2,0,0,-18,0,2,15feb2020
Hessen,2020/02/16 00:00:00,6,1,0,0,-9,0,1,16feb2020
Hessen,2020/02/19 00:00:00,6,1,0,0,-9,0,1,19feb2020
Hessen,2020/02/20 00:00:00,6,2,1,0,-9,-9,1,20feb2020
Hessen,2020/02/23 00:00:00,6,3,0,0,-27,0,3,23feb2020
Hessen,2020/02/24 00:00:00,6,4,0,0,-36,0,4,24feb2020
Hessen,2020/02/25 00:00:00,6,8,0,0,-63,0,8,25feb2020
Hessen,2020/02/26 00:00:00,6,5,0,0,-45,0,5,26feb2020
Hessen,2020/02/27 00:00:00,6,3,0,0,-27,0,3,27feb2020
Hessen,2020/02/28 00:00:00,6,6,0,0,-54,0,6,28feb2020
Hessen,2020/02/29 00:00:00,6,3,0,0,-27,0,3,29feb2020
Hessen,2020/03/01 00:00:00,6,8,0,0,-72,0,8,01mar2020
Hessen,2020/03/02 00:00:00,6,9,0,0,-81,0,9,02mar2020
Hessen,2020/03/03 00:00:00,6,10,0,0,-90,0,10,03mar2020
Hessen,2020/03/04 00:00:00,6,10,0,0,-90,0,10,04mar2020
Hessen,2020/03/05 00:00:00,6,11,0,0,-90,0,11,05mar2020
Hessen,2020/03/06 00:00:00,6,28,0,0,-252,0,28,06mar2020
Hessen,2020/03/07 00:00:00,6,48,0,0,-405,0,48,07mar2020
Hessen,2020/03/08 00:00:00,6,87,1,0,-729,-9,86,08mar2020
Hessen,2020/03/09 00:00:00,6,115,1,0,-1008,-9,114,09mar2020
Hessen,2020/03/10 00:00:00,6,146,1,0,-1107,-9,145,10mar2020
Hessen,2020/03/11 00:00:00,6,160,3,0,-1260,-27,157,11mar2020
Hessen,2020/03/12 00:00:00,6,196,1,0,-1485,-9,195,12mar2020
Hessen,2020/03/13 00:00:00,6,224,2,0,-1755,-18,222,13mar2020
Hessen,2020/03/14 00:00:00,6,224,1,0,-1845,-9,223,14mar2020
Hessen,2020/03/15 00:00:00,6,210,2,0,-1701,-18,208,15mar2020
Hessen,2020/03/16 00:00:00,6,294,4,0,-2277,-36,290,16mar2020
Hessen,2020/03/17 00:00:00,6,276,6,0,-2124,-54,270,17mar2020
Hessen,2020/03/18 00:00:00,6,250,7,0,-1971,-63,243,18mar2020
Hessen,2020/03/19 00:00:00,6,230,5,0,-1773,-45,225,19mar2020
Hessen,2020/03/20 00:00:00,6,229,7,0,-1773,-63,222,20mar2020
Hessen,2020/03/21 00:00:00,6,184,4,0,-1548,-36,180,21mar2020
Hessen,2020/03/22 00:00:00,6,122,5,0,-981,-45,117,22mar2020
Hessen,2020/03/23 00:00:00,6,222,4,0,-1764,-36,218,23mar2020
Hessen,2020/03/24 00:00:00,6,172,14,0,-1233,-81,158,24mar2020
Hessen,2020/03/25 00:00:00,6,194,16,0,-1521,-135,178,25mar2020
Hessen,2020/03/26 00:00:00,6,192,9,0,-1503,-81,183,26mar2020
Hessen,2020/03/27 00:00:00,6,219,11,0,-1611,-99,208,27mar2020
Hessen,2020/03/28 00:00:00,6,177,10,0,-1377,-81,167,28mar2020
Hessen,2020/03/29 00:00:00,6,155,10,0,-1197,-90,145,29mar2020
Hessen,2020/03/30 00:00:00,6,223,21,0,-1638,-135,202,30mar2020
Hessen,2020/03/31 00:00:00,6,152,14,0,-1134,-126,138,31mar2020
Hessen,2020/04/01 00:00:00,6,222,23,0,-1548,-153,199,01apr2020
Hessen,2020/04/02 00:00:00,6,205,18,0,-1404,-126,187,02apr2020
Hessen,2020/04/03 00:00:00,6,185,12,0,-1332,-108,173,03apr2020
Hessen,2020/04/04 00:00:00,6,156,9,0,-1062,-81,147,04apr2020
Hessen,2020/04/05 00:00:00,6,108,9,0,-747,-81,99,05apr2020
Hessen,2020/04/06 00:00:00,6,164,15,0,-1260,-126,149,06apr2020
Hessen,2020/04/07 00:00:00,6,178,8,0,-1269,-72,170,07apr2020
Hessen,2020/04/08 00:00:00,6,170,20,0,-1125,-162,150,08apr2020
Hessen,2020/04/09 00:00:00,6,188,21,0,-1296,-171,166,09apr2020
Hessen,2020/04/10 00:00:00,6,128,12,0,-918,-117,115,10apr2020
Hessen,2020/04/11 00:00:00,6,130,15,0,-882,-125,115,11apr2020
Hessen,2020/04/12 00:00:00,6,123,14,0,-738,-126,109,12apr2020
Hessen,2020/04/13 00:00:00,6,103,14,0,-702,-126,88,13apr2020
Hessen,2020/04/14 00:00:00,6,121,8,0,-891,-72,113,14apr2020
Hessen,2020/04/15 00:00:00,6,152,11,0,-990,-108,140,15apr2020
Hessen,2020/04/16 00:00:00,6,116,8,0,-837,-63,108,16apr2020
Hessen,2020/04/17 00:00:00,6,151,8,0,-1044,-54,143,17apr2020
Hessen,2020/04/18 00:00:00,6,108,6,0,-792,-54,102,18apr2020
Hessen,2020/04/19 00:00:00,6,109,9,0,-720,-80,100,19apr2020
Hessen,2020/04/20 00:00:00,6,106,5,0,-756,-44,101,20apr2020
Hessen,2020/04/21 00:00:00,6,111,4,0,-810,-36,107,21apr2020
Hessen,2020/04/22 00:00:00,6,109,7,0,-774,-63,101,22apr2020
Hessen,2020/04/23 00:00:00,6,114,9,0,-774,-81,105,23apr2020
Hessen,2020/04/24 00:00:00,6,91,0,0,-684,0,91,24apr2020
Hessen,2020/04/25 00:00:00,6,66,2,0,-549,-26,63,25apr2020
Hessen,2020/04/26 00:00:00,6,39,1,0,-333,-18,37,26apr2020
Hessen,2020/04/27 00:00:00,6,72,0,0,-621,26,72,27apr2020
Hessen,2020/04/28 00:00:00,6,92,6,0,-729,-279,59,28apr2020
Hessen,2020/04/29 00:00:00,6,75,3,0,-531,-153,58,29apr2020
Hessen,2020/04/30 00:00:00,6,78,3,0,-612,-161,58,30apr2020
Hessen,2020/05/01 00:00:00,6,58,0,0,-486,-126,43,01may2020
Hessen,2020/05/02 00:00:00,6,53,1,0,-414,-126,34,02may2020
Hessen,2020/05/03 00:00:00,6,41,1,0,-342,-71,33,03may2020
Hessen,2020/05/04 00:00:00,6,49,1,0,-414,-135,33,04may2020
Hessen,2020/05/05 00:00:00,6,79,3,0,-603,-153,62,05may2020
Hessen,2020/05/06 00:00:00,6,89,0,0,-693,-171,70,06may2020
Hessen,2020/05/07 00:00:00,6,54,2,0,-468,-144,38,07may2020
Hessen,2020/05/08 00:00:00,6,69,1,0,-513,-153,46,08may2020
Hessen,2020/05/09 00:00:00,6,34,1,0,-279,-63,27,09may2020
Hessen,2020/05/10 00:00:00,6,30,0,0,-270,-91,18,10may2020
Hessen,2020/05/11 00:00:00,6,51,2,0,-423,-22,44,11may2020
Hessen,2020/05/12 00:00:00,6,70,4,1,-522,-530,3,12may2020
Hessen,2020/05/13 00:00:00,6,69,1,0,-567,-558,2,13may2020
Hessen,2020/05/14 00:00:00,6,42,0,0,-342,-332,1,14may2020
Hessen,2020/05/15 00:00:00,6,51,1,0,-423,-432,0,15may2020
Hessen,2020/05/16 00:00:00,6,42,0,0,-315,-315,0,16may2020
Hessen,2020/05/17 00:00:00,6,80,0,0,-279,-279,0,17may2020
Hessen,2020/05/18 00:00:00,6,49,0,1,-378,-378,0,18may2020
Hessen,2020/05/19 00:00:00,6,40,0,1,-297,-297,0,19may2020
Hessen,2020/05/20 00:00:00,6,48,2,0,-342,-360,0,20may2020
Hessen,2020/05/21 00:00:00,6,17,0,0,-135,-135,0,21may2020
Hessen,2020/05/22 00:00:00,6,34,0,0,-225,-225,0,22may2020
Hessen,2020/05/23 00:00:00,6,30,0,1,-153,-153,0,23may2020
Hessen,2020/05/24 00:00:00,6,4,0,4,-36,-36,0,24may2020
Rheinland-Pfalz,2020/02/06 00:00:00,7,1,0,0,-9,0,1,06feb2020
Rheinland-Pfalz,2020/02/20 00:00:00,7,1,0,0,-9,0,1,20feb2020
Rheinland-Pfalz,2020/02/23 00:00:00,7,1,0,0,-9,0,1,23feb2020
Rheinland-Pfalz,2020/02/25 00:00:00,7,2,0,0,-18,0,2,25feb2020
Rheinland-Pfalz,2020/02/26 00:00:00,7,3,0,0,-27,0,3,26feb2020
Rheinland-Pfalz,2020/02/27 00:00:00,7,2,0,0,-18,0,2,27feb2020
Rheinland-Pfalz,2020/02/28 00:00:00,7,4,1,0,-27,-9,3,28feb2020
Rheinland-Pfalz,2020/02/29 00:00:00,7,5,0,0,-45,0,5,29feb2020
Rheinland-Pfalz,2020/03/01 00:00:00,7,8,0,0,-72,0,8,01mar2020
Rheinland-Pfalz,2020/03/02 00:00:00,7,10,0,0,-90,0,10,02mar2020
Rheinland-Pfalz,2020/03/03 00:00:00,7,6,0,0,-54,0,6,03mar2020
Rheinland-Pfalz,2020/03/04 00:00:00,7,6,0,0,-54,0,6,04mar2020
Rheinland-Pfalz,2020/03/05 00:00:00,7,8,0,0,-72,0,8,05mar2020
Rheinland-Pfalz,2020/03/06 00:00:00,7,12,2,0,-90,-18,10,06mar2020
Rheinland-Pfalz,2020/03/07 00:00:00,7,25,1,0,-198,-9,24,07mar2020
Rheinland-Pfalz,2020/03/08 00:00:00,7,40,0,0,-333,0,40,08mar2020
Rheinland-Pfalz,2020/03/09 00:00:00,7,51,0,0,-414,0,51,09mar2020
Rheinland-Pfalz,2020/03/10 00:00:00,7,72,1,0,-585,-9,71,10mar2020
Rheinland-Pfalz,2020/03/11 00:00:00,7,97,1,0,-828,-9,96,11mar2020
Rheinland-Pfalz,2020/03/12 00:00:00,7,129,0,0,-1071,0,129,12mar2020
Rheinland-Pfalz,2020/03/13 00:00:00,7,143,0,0,-1152,0,143,13mar2020
Rheinland-Pfalz,2020/03/14 00:00:00,7,149,1,0,-1215,-9,148,14mar2020
Rheinland-Pfalz,2020/03/15 00:00:00,7,181,2,0,-1323,-18,179,15mar2020
Rheinland-Pfalz,2020/03/16 00:00:00,7,250,2,0,-1872,-18,248,16mar2020
Rheinland-Pfalz,2020/03/17 00:00:00,7,269,4,0,-1953,-36,265,17mar2020
Rheinland-Pfalz,2020/03/18 00:00:00,7,224,2,0,-1719,-18,222,18mar2020
Rheinland-Pfalz,2020/03/19 00:00:00,7,178,7,0,-1341,-63,171,19mar2020
Rheinland-Pfalz,2020/03/20 00:00:00,7,232,6,0,-1755,-54,226,20mar2020
Rheinland-Pfalz,2020/03/21 00:00:00,7,145,5,0,-1125,-45,140,21mar2020
Rheinland-Pfalz,2020/03/22 00:00:00,7,154,1,0,-1116,-9,153,22mar2020
Rheinland-Pfalz,2020/03/23 00:00:00,7,206,2,0,-1665,-18,204,23mar2020
Rheinland-Pfalz,2020/03/24 00:00:00,7,183,5,0,-1296,-45,178,24mar2020
Rheinland-Pfalz,2020/03/25 00:00:00,7,142,7,0,-1062,-63,135,25mar2020
Rheinland-Pfalz,2020/03/26 00:00:00,7,181,8,0,-1278,-72,173,26mar2020
Rheinland-Pfalz,2020/03/27 00:00:00,7,165,6,0,-1215,-54,159,27mar2020
Rheinland-Pfalz,2020/03/28 00:00:00,7,152,7,0,-1125,-63,145,28mar2020
Rheinland-Pfalz,2020/03/29 00:00:00,7,118,5,0,-882,-45,113,29mar2020
Rheinland-Pfalz,2020/03/30 00:00:00,7,163,4,0,-1233,-36,159,30mar2020
Rheinland-Pfalz,2020/03/31 00:00:00,7,114,5,0,-927,-45,109,31mar2020
Rheinland-Pfalz,2020/04/01 00:00:00,7,153,5,0,-1161,-45,148,01apr2020
Rheinland-Pfalz,2020/04/02 00:00:00,7,127,4,0,-981,-36,123,02apr2020
Rheinland-Pfalz,2020/04/03 00:00:00,7,149,11,0,-1080,-99,138,03apr2020
Rheinland-Pfalz,2020/04/04 00:00:00,7,103,4,0,-774,-36,99,04apr2020
Rheinland-Pfalz,2020/04/05 00:00:00,7,98,8,0,-702,-63,90,05apr2020
Rheinland-Pfalz,2020/04/06 00:00:00,7,127,4,0,-963,-36,123,06apr2020
Rheinland-Pfalz,2020/04/07 00:00:00,7,136,9,0,-963,-72,127,07apr2020
Rheinland-Pfalz,2020/04/08 00:00:00,7,121,10,0,-819,-90,111,08apr2020
Rheinland-Pfalz,2020/04/09 00:00:00,7,110,8,0,-846,-72,102,09apr2020
Rheinland-Pfalz,2020/04/10 00:00:00,7,94,8,0,-693,-72,86,10apr2020
Rheinland-Pfalz,2020/04/11 00:00:00,7,75,6,0,-594,-54,69,11apr2020
Rheinland-Pfalz,2020/04/12 00:00:00,7,74,4,0,-495,-36,70,12apr2020
Rheinland-Pfalz,2020/04/13 00:00:00,7,64,2,0,-423,-18,62,13apr2020
Rheinland-Pfalz,2020/04/14 00:00:00,7,99,3,0,-729,-27,96,14apr2020
Rheinland-Pfalz,2020/04/15 00:00:00,7,94,6,0,-693,-54,88,15apr2020
Rheinland-Pfalz,2020/04/16 00:00:00,7,83,6,0,-666,-45,77,16apr2020
Rheinland-Pfalz,2020/04/17 00:00:00,7,79,6,0,-513,-45,73,17apr2020
Rheinland-Pfalz,2020/04/18 00:00:00,7,61,0,0,-432,0,61,18apr2020
Rheinland-Pfalz,2020/04/19 00:00:00,7,28,1,0,-234,-9,27,19apr2020
Rheinland-Pfalz,2020/04/20 00:00:00,7,49,3,0,-324,-27,46,20apr2020
Rheinland-Pfalz,2020/04/21 00:00:00,7,43,6,0,-306,-54,37,21apr2020
Rheinland-Pfalz,2020/04/22 00:00:00,7,60,5,0,-423,-36,55,22apr2020
Rheinland-Pfalz,2020/04/23 00:00:00,7,34,1,0,-279,-9,33,23apr2020
Rheinland-Pfalz,2020/04/24 00:00:00,7,54,5,0,-378,-45,49,24apr2020
Rheinland-Pfalz,2020/04/25 00:00:00,7,25,1,0,-207,-9,24,25apr2020
Rheinland-Pfalz,2020/04/26 00:00:00,7,33,3,0,-270,-27,30,26apr2020
Rheinland-Pfalz,2020/04/27 00:00:00,7,41,1,0,-306,-4,40,27apr2020
Rheinland-Pfalz,2020/04/28 00:00:00,7,36,2,0,-279,-99,24,28apr2020
Rheinland-Pfalz,2020/04/29 00:00:00,7,43,1,0,-333,-108,31,29apr2020
Rheinland-Pfalz,2020/04/30 00:00:00,7,22,1,0,-171,-63,14,30apr2020
Rheinland-Pfalz,2020/05/01 00:00:00,7,31,1,0,-261,-63,24,01may2020
Rheinland-Pfalz,2020/05/02 00:00:00,7,21,1,0,-162,-45,16,02may2020
Rheinland-Pfalz,2020/05/03 00:00:00,7,9,0,0,-81,-9,8,03may2020
Rheinland-Pfalz,2020/05/04 00:00:00,7,31,3,0,-242,-72,23,04may2020
Rheinland-Pfalz,2020/05/05 00:00:00,7,34,1,0,-288,-36,30,05may2020
Rheinland-Pfalz,2020/05/06 00:00:00,7,19,0,0,-162,-9,18,06may2020
Rheinland-Pfalz,2020/05/07 00:00:00,7,23,1,0,-180,-45,18,07may2020
Rheinland-Pfalz,2020/05/08 00:00:00,7,27,0,0,-216,-27,23,08may2020
Rheinland-Pfalz,2020/05/09 00:00:00,7,28,0,0,-243,-27,25,09may2020
Rheinland-Pfalz,2020/05/10 00:00:00,7,18,0,0,-144,-18,16,10may2020
Rheinland-Pfalz,2020/05/11 00:00:00,7,28,0,0,-234,-14,24,11may2020
Rheinland-Pfalz,2020/05/12 00:00:00,7,14,1,0,-117,-126,0,12may2020
Rheinland-Pfalz,2020/05/13 00:00:00,7,24,0,0,-207,-198,1,13may2020
Rheinland-Pfalz,2020/05/14 00:00:00,7,16,0,0,-144,-135,1,14may2020
Rheinland-Pfalz,2020/05/15 00:00:00,7,29,1,1,-171,-180,0,15may2020
Rheinland-Pfalz,2020/05/16 00:00:00,7,16,0,0,-126,-126,0,16may2020
Rheinland-Pfalz,2020/05/17 00:00:00,7,16,0,0,-108,-98,1,17may2020
Rheinland-Pfalz,2020/05/18 00:00:00,7,11,0,0,-72,-72,0,18may2020
Rheinland-Pfalz,2020/05/19 00:00:00,7,14,0,1,-99,-99,0,19may2020
Rheinland-Pfalz,2020/05/20 00:00:00,7,21,0,0,-162,-162,0,20may2020
Rheinland-Pfalz,2020/05/21 00:00:00,7,6,0,0,-36,-36,0,21may2020
Rheinland-Pfalz,2020/05/22 00:00:00,7,9,0,0,-63,-63,0,22may2020
Rheinland-Pfalz,2020/05/23 00:00:00,7,4,0,4,-36,-36,0,23may2020
Baden-WÃ¼rttemberg,2020/01/23 00:00:00,8,1,0,0,-9,0,1,23jan2020
Baden-WÃ¼rttemberg,2020/01/31 00:00:00,8,1,0,0,-9,0,1,31jan2020
Baden-WÃ¼rttemberg,2020/02/01 00:00:00,8,1,0,0,-9,0,1,01feb2020
Baden-WÃ¼rttemberg,2020/02/03 00:00:00,8,1,1,0,0,-9,0,03feb2020
Baden-WÃ¼rttemberg,2020/02/04 00:00:00,8,1,0,0,-9,0,1,04feb2020
Baden-WÃ¼rttemberg,2020/02/10 00:00:00,8,1,0,0,-9,0,1,10feb2020
Baden-WÃ¼rttemberg,2020/02/11 00:00:00,8,2,0,0,-18,0,2,11feb2020
Baden-WÃ¼rttemberg,2020/02/13 00:00:00,8,1,0,0,-9,0,1,13feb2020
Baden-WÃ¼rttemberg,2020/02/14 00:00:00,8,3,1,0,-18,-9,2,14feb2020
Baden-WÃ¼rttemberg,2020/02/16 00:00:00,8,1,0,0,-9,0,1,16feb2020
Baden-WÃ¼rttemberg,2020/02/17 00:00:00,8,2,0,0,-18,0,2,17feb2020
